Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,ES-2017-1311038,07/02/2017,11/02/2017,Standard Class,AS-10045,Aaron Smayling,Corporate,Leeds,England,United Kingdom,North,OFF-ST-10000988,Office Supplies,Storage,"Fellowes Folders, Blue",79.2,3,0.0,39.6
2,ES-2017-1311038,07/02/2017,11/02/2017,Standard Class,AS-10045,Aaron Smayling,Corporate,Leeds,England,United Kingdom,North,TEC-AC-10004144,Technology,Accessories,"SanDisk Numeric Keypad, Bluetooth",388.92,7,0.0,0.0
3,ES-2017-1311038,07/02/2017,11/02/2017,Standard Class,AS-10045,Aaron Smayling,Corporate,Leeds,England,United Kingdom,North,OFF-LA-10001915,Office Supplies,Labels,"Avery Legal Exhibit Labels, 5000 Label Set",35.19,3,0.0,16.11
4,ES-2017-1311038,07/02/2017,11/02/2017,Standard Class,AS-10045,Aaron Smayling,Corporate,Leeds,England,United Kingdom,North,OFF-ST-10004550,Office Supplies,Storage,"Fellowes Folders, Wire Frame",50.94,2,0.0,13.2
5,ES-2017-1311038,07/02/2017,11/02/2017,Standard Class,AS-10045,Aaron Smayling,Corporate,Leeds,England,United Kingdom,North,TEC-AC-10004068,Technology,Accessories,"Memorex Memory Card, USB",307.44,3,0.0,73.71
6,ES-2017-1311038,07/02/2017,11/02/2017,Standard Class,AS-10045,Aaron Smayling,Corporate,Leeds,England,United Kingdom,North,OFF-ST-10002271,Office Supplies,Storage,"Rogers Shelving, Wire Frame",122.4,2,0.0,37.92
7,ES-2017-1311038,07/02/2017,11/02/2017,Standard Class,AS-10045,Aaron Smayling,Corporate,Leeds,England,United Kingdom,North,TEC-PH-10003963,Technology,Phones,"Apple Signal Booster, Full Size",413.82,3,0.0,20.61
8,ES-2015-5113958,02/08/2015,07/08/2015,Second Class,EB-13840,Ellis Ballard,Corporate,West Bromwich,England,United Kingdom,North,TEC-CO-10004325,Technology,Copiers,"Canon Personal Copier, Laser",428.22,3,0.0,192.69
9,ES-2015-5113958,02/08/2015,07/08/2015,Second Class,EB-13840,Ellis Ballard,Corporate,West Bromwich,England,United Kingdom,North,OFF-AP-10004512,Office Supplies,Appliances,"Hoover Stove, Red",3979.29,7,0.0,1989.54
10,ES-2015-5113958,02/08/2015,07/08/2015,Second Class,EB-13840,Ellis Ballard,Corporate,West Bromwich,England,United Kingdom,North,OFF-FA-10002393,Office Supplies,Fasteners,"Accos Push Pins, Bulk Pack",43.56,3,0.0,12.6
11,ES-2015-2510515,20/06/2015,20/06/2015,Same Day,LH-17155,Logan Haushalter,Consumer,Le Bouscat,Aquitaine-Limousin-Poitou-Charentes,France,Central,OFF-LA-10002805,Office Supplies,Labels,"Hon Color Coded Labels, Alphabetical",25.26,2,0.0,0.48
12,ES-2015-2510515,20/06/2015,20/06/2015,Same Day,LH-17155,Logan Haushalter,Consumer,Le Bouscat,Aquitaine-Limousin-Poitou-Charentes,France,Central,OFF-AP-10002330,Office Supplies,Appliances,"Hamilton Beach Stove, Silver",2443.905,5,0.1,760.305
13,ES-2015-2510515,20/06/2015,20/06/2015,Same Day,LH-17155,Logan Haushalter,Consumer,Le Bouscat,Aquitaine-Limousin-Poitou-Charentes,France,Central,OFF-AR-10000505,Office Supplies,Art,"Binney & Smith Pens, Easy-Erase",12.21,1,0.0,0.0
14,ES-2015-2510515,20/06/2015,20/06/2015,Same Day,LH-17155,Logan Haushalter,Consumer,Le Bouscat,Aquitaine-Limousin-Poitou-Charentes,France,Central,TEC-PH-10002898,Technology,Phones,"Samsung Smart Phone, Full Size",2167.296,4,0.15,790.416
15,ES-2015-2510515,20/06/2015,20/06/2015,Same Day,LH-17155,Logan Haushalter,Consumer,Le Bouscat,Aquitaine-Limousin-Poitou-Charentes,France,Central,OFF-ST-10001413,Office Supplies,Storage,"Rogers Folders, Blue",138.105,5,0.1,-12.345
16,ES-2016-4380115,16/02/2016,20/02/2016,Standard Class,KC-16540,Kelly Collister,Consumer,Strasbourg,Alsace-Champagne-Ardenne-Lorraine,France,Central,OFF-ST-10003931,Office Supplies,Storage,"Smead Trays, Wire Frame",128.385,3,0.1,4.275
17,ES-2016-4380115,16/02/2016,20/02/2016,Standard Class,KC-16540,Kelly Collister,Consumer,Strasbourg,Alsace-Champagne-Ardenne-Lorraine,France,Central,TEC-AC-10004269,Technology,Accessories,"Belkin Memory Card, USB",690.12,6,0.0,0.0
18,ES-2016-4380115,16/02/2016,20/02/2016,Standard Class,KC-16540,Kelly Collister,Consumer,Strasbourg,Alsace-Champagne-Ardenne-Lorraine,France,Central,OFF-LA-10001676,Office Supplies,Labels,"Hon Removable Labels, Adjustable",8.16,1,0.0,1.14
19,ES-2017-2573330,03/11/2017,08/11/2017,Standard Class,BF-11170,Ben Ferrer,Home Office,Unna,North Rhine-Westphalia,Germany,Central,TEC-MA-10000811,Technology,Machines,"Okidata Phone, Durable",347.88,4,0.0,76.44
20,ES-2017-2573330,03/11/2017,08/11/2017,Standard Class,BF-11170,Ben Ferrer,Home Office,Unna,North Rhine-Westphalia,Germany,Central,OFF-ST-10000648,Office Supplies,Storage,"Eldon File Cart, Industrial",575.505,5,0.1,12.705
21,ES-2017-1872792,14/08/2017,16/08/2017,First Class,BF-11275,Beth Fritzler,Corporate,Thiais,Ile-de-France,France,Central,OFF-BI-10001249,Office Supplies,Binders,"Acco Hole Reinforcements, Recycled",14.04,2,0.0,7.02
22,ES-2017-3412387,18/06/2017,24/06/2017,Standard Class,DR-12880,Dan Reichenbach,Corporate,Kassel,Hesse,Germany,Central,FUR-BO-10004620,Furniture,Bookcases,"Safco Stackable Bookrack, Mobile",268.164,2,0.1,5.904
23,IT-2017-3245851,02/05/2017,05/05/2017,Second Class,LB-16795,Laurel Beltran,Home Office,Milan,Lombardy,Italy,South,OFF-ST-10002271,Office Supplies,Storage,"Rogers Shelving, Wire Frame",36.72,1,0.4,-5.52
24,IT-2017-3245851,02/05/2017,05/05/2017,Second Class,LB-16795,Laurel Beltran,Home Office,Milan,Lombardy,Italy,South,TEC-AC-10002901,Technology,Accessories,"Memorex Mouse, Bluetooth",28.17,1,0.0,1.11
25,IT-2016-1215824,12/08/2016,16/08/2016,Standard Class,RO-19780,Rose O'Brian,Consumer,Brandenburg,Brandenburg,Germany,Central,OFF-ST-10000632,Office Supplies,Storage,"Rogers Shelving, Single Width",279.72,5,0.1,-6.33
26,IT-2016-1215824,12/08/2016,16/08/2016,Standard Class,RO-19780,Rose O'Brian,Consumer,Brandenburg,Brandenburg,Germany,Central,OFF-AR-10002116,Office Supplies,Art,"BIC Pens, Fluorescent",108.78,7,0.0,35.7
27,ES-2017-2557751,28/02/2017,04/03/2017,Standard Class,SP-20920,Susan Pistek,Consumer,Heilbronn,Baden-Württemberg,Germany,Central,TEC-MA-10000946,Technology,Machines,"Panasonic Calculator, Red",332.01,7,0.0,112.77
28,ES-2017-2557751,28/02/2017,04/03/2017,Standard Class,SP-20920,Susan Pistek,Consumer,Heilbronn,Baden-Württemberg,Germany,Central,OFF-ST-10004409,Office Supplies,Storage,"Rogers Box, Industrial",110.025,5,0.1,-12.225
29,ES-2017-2557751,28/02/2017,04/03/2017,Standard Class,SP-20920,Susan Pistek,Consumer,Heilbronn,Baden-Württemberg,Germany,Central,OFF-FA-10000146,Office Supplies,Fasteners,"Stockwell Rubber Bands, Assorted Sizes",41.94,3,0.0,7.92
30,ES-2017-4134792,11/09/2017,15/09/2017,Standard Class,AZ-10750,Annie Zypern,Consumer,Herten,North Rhine-Westphalia,Germany,Central,TEC-AC-10001636,Technology,Accessories,"Belkin Mouse, Erganomic",192.6,5,0.0,32.7
31,ES-2017-4134792,11/09/2017,15/09/2017,Standard Class,AZ-10750,Annie Zypern,Consumer,Herten,North Rhine-Westphalia,Germany,Central,TEC-PH-10002076,Technology,Phones,"Samsung Audio Dock, Full Size",336.24,2,0.0,43.68
32,ES-2014-2801336,02/06/2014,06/06/2014,Standard Class,DB-13270,Deborah Brumfield,Home Office,Barcelona,Catalonia,Spain,South,OFF-BI-10002225,Office Supplies,Binders,"Cardinal Binding Machine, Durable",102.54,2,0.0,35.88
33,ES-2016-5191940,14/08/2016,19/08/2016,Standard Class,LB-16795,Laurel Beltran,Home Office,Swindon,England,United Kingdom,North,OFF-PA-10002248,Office Supplies,Paper,"Green Bar Memo Slips, 8.5 x 11",63.27,3,0.0,30.96
34,ES-2016-5191940,14/08/2016,19/08/2016,Standard Class,LB-16795,Laurel Beltran,Home Office,Swindon,England,United Kingdom,North,OFF-PA-10000876,Office Supplies,Paper,"Eaton Computer Printout Paper, Multicolor",55.92,2,0.0,8.34
35,ES-2016-4020783,25/11/2016,27/11/2016,Second Class,PN-18775,Parhena Norris,Home Office,Puertollano,Castile-La Mancha,Spain,South,OFF-AR-10001228,Office Supplies,Art,"Stanley Markers, Water Color",76.14,3,0.0,25.11
36,ES-2016-3284813,31/05/2016,05/06/2016,Standard Class,SC-20020,Sam Craven,Consumer,Chaville,Ile-de-France,France,Central,OFF-AR-10000785,Office Supplies,Art,"BIC Sketch Pad, Water Color",155.52,3,0.0,23.31
37,ES-2016-3284813,31/05/2016,05/06/2016,Standard Class,SC-20020,Sam Craven,Consumer,Chaville,Ile-de-France,France,Central,OFF-ST-10002151,Office Supplies,Storage,"Eldon Box, Blue",46.17,5,0.1,8.07
38,ES-2016-3284813,31/05/2016,05/06/2016,Standard Class,SC-20020,Sam Craven,Consumer,Chaville,Ile-de-France,France,Central,OFF-LA-10004929,Office Supplies,Labels,"Novimex Color Coded Labels, Laser Printer Compatible",37.26,3,0.0,8.91
39,IT-2017-5016792,10/01/2017,12/01/2017,Second Class,TB-21280,Toby Braunhardt,Consumer,Sonneberg,Thuringia,Germany,Central,OFF-PA-10003037,Office Supplies,Paper,"Eaton Memo Slips, Multicolor",90.9,6,0.0,15.3
40,IT-2017-5016792,10/01/2017,12/01/2017,Second Class,TB-21280,Toby Braunhardt,Consumer,Sonneberg,Thuringia,Germany,Central,OFF-AR-10000491,Office Supplies,Art,"Binney & Smith Pens, Water Color",75.6,5,0.0,27.15
41,IT-2016-2373016,08/11/2016,11/11/2016,First Class,CM-11830,Cari MacIntyre,Corporate,The Hague,South Holland,Netherlands,Central,OFF-SU-10003907,Office Supplies,Supplies,"Stiletto Letter Opener, Easy Grip",15.0,1,0.5,-9.3
42,IT-2016-2373016,08/11/2016,11/11/2016,First Class,CM-11830,Cari MacIntyre,Corporate,The Hague,South Holland,Netherlands,Central,OFF-BI-10001249,Office Supplies,Binders,"Acco Hole Reinforcements, Recycled",14.04,4,0.5,0.0
43,IT-2016-2373016,08/11/2016,11/11/2016,First Class,CM-11830,Cari MacIntyre,Corporate,The Hague,South Holland,Netherlands,Central,OFF-AR-10000823,Office Supplies,Art,"Stanley Pens, Water Color",33.075,5,0.5,-11.925
44,ES-2014-3186072,28/09/2014,02/10/2014,Standard Class,CA-12265,Christina Anderson,Consumer,Littlehampton,England,United Kingdom,North,TEC-CO-10000620,Technology,Copiers,"Brother Wireless Fax, Digital",1892.25,5,0.0,170.25
45,ES-2014-3186072,28/09/2014,02/10/2014,Standard Class,CA-12265,Christina Anderson,Consumer,Littlehampton,England,United Kingdom,North,TEC-AC-10004203,Technology,Accessories,"Logitech Flash Drive, Bluetooth",122.04,4,0.0,52.44
46,ES-2014-3186072,28/09/2014,02/10/2014,Standard Class,CA-12265,Christina Anderson,Consumer,Littlehampton,England,United Kingdom,North,TEC-CO-10001596,Technology,Copiers,"Brother Wireless Fax, Color",1140.75,3,0.0,239.49
47,ES-2014-5235241,27/08/2014,28/08/2014,Same Day,TB-21175,Thomas Boland,Corporate,Taverny,Ile-de-France,France,Central,OFF-SU-10004818,Office Supplies,Supplies,"Stiletto Trimmer, Steel",84.3,2,0.0,28.62
48,ES-2014-5235241,27/08/2014,28/08/2014,Same Day,TB-21175,Thomas Boland,Corporate,Taverny,Ile-de-France,France,Central,TEC-CO-10004034,Technology,Copiers,"Canon Fax Machine, High-Speed",538.203,2,0.15,-19.017
49,ES-2014-5235241,27/08/2014,28/08/2014,Same Day,TB-21175,Thomas Boland,Corporate,Taverny,Ile-de-France,France,Central,OFF-AR-10000319,Office Supplies,Art,"Binney & Smith Canvas, Fluorescent",157.86,3,0.0,29.97
50,ES-2017-5640080,16/04/2017,20/04/2017,Standard Class,MH-17455,Mark Hamilton,Consumer,Mainz,Rhineland-Palatinate,Germany,Central,OFF-SU-10001703,Office Supplies,Supplies,"Fiskars Box Cutter, High Speed",106.56,3,0.0,37.26
51,IT-2017-2321796,02/04/2017,07/04/2017,Standard Class,IL-15100,Ivan Liston,Consumer,Nacka,Stockholm,Sweden,North,OFF-ST-10002659,Office Supplies,Storage,"Smead Shelving, Wire Frame",72.0,3,0.5,-5.76
